"No.","Time","Source","Destination","Protocol","Length","Info"
"35","0.166594633","192.168.100.11","192.168.100.10","TCP","66","33038  >  7777 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2230215368 TSecr=3054224024"
"36","0.167356567","192.168.100.11","192.168.100.10","TCP","90","33038  >  7777 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=24 TSval=2230215369 TSecr=3054224024"
"37","0.167356714","192.168.100.11","192.168.100.10","TCP","66","33038  >  7777 [FIN, ACK] Seq=25 Ack=1 Win=64256 Len=0 TSval=2230215369 TSecr=3054224024"
"38","0.167382122","192.168.100.10","192.168.100.11","TCP","66","7777  >  33038 [ACK] Seq=1 Ack=25 Win=65536 Len=0 TSval=3054224025 TSecr=2230215369"
"39","0.167535314","192.168.100.10","192.168.100.11","TCP","74","7777  >  33038 [PSH, ACK] Seq=1 Ack=26 Win=65536 Len=8 TSval=3054224025 TSecr=2230215369"
"40","0.167616501","192.168.100.10","192.168.100.11","TCP","66","7777  >  33038 [FIN, ACK] Seq=9 Ack=26 Win=65536 Len=0 TSval=3054224025 TSecr=2230215369"
"41","0.167639284","192.168.100.11","192.168.100.10","TCP","66","33038  >  7777 [ACK] Seq=26 Ack=9 Win=64256 Len=0 TSval=2230215369 TSecr=3054224025"
"42","0.167689075","192.168.100.11","192.168.100.10","TCP","66","33038  >  7777 [ACK] Seq=26 Ack=10 Win=64256 Len=0 TSval=2230215369 TSecr=3054224025"
"43","0.254098411","192.168.100.12","192.168.100.10","TCP","74","36548  >  7777 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=412253450 TSecr=0 WS=128"
"44","0.254138099","192.168.100.10","192.168.100.12","TCP","74","7777  >  36548 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4011346256 TSecr=412253450 WS=512"
"45","0.254300399","192.168.100.12","192.168.100.10","TCP","66","36548  >  7777 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=412253450 TSecr=4011346256"
"46","0.255137424","192.168.100.12","192.168.100.10","TCP","90","36548  >  7777 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=24 TSval=412253451 TSecr=4011346256"
"47","0.255137802","192.168.100.12","192.168.100.10","TCP","66","36548  >  7777 [FIN, ACK] Seq=25 Ack=1 Win=64256 Len=0 TSval=412253451 TSecr=4011346256"
"48","0.255171663","192.168.100.10","192.168.100.12","TCP","66","7777  >  36548 [ACK] Seq=1 Ack=25 Win=65536 Len=0 TSval=4011346257 TSecr=412253451"
"49","0.255332218","192.168.100.10","192.168.100.12","TCP","74","7777  >  36548 [PSH, ACK] Seq=1 Ack=26 Win=65536 Len=8 TSval=4011346257 TSecr=412253451"
"50","0.255397207","192.168.100.10","192.168.100.12","TCP","66","7777  >  36548 [FIN, ACK] Seq=9 Ack=26 Win=65536 Len=0 TSval=4011346257 TSecr=412253451"
"51","0.255493675","192.168.100.12","192.168.100.10","TCP","66","36548  >  7777 [ACK] Seq=26 Ack=9 Win=64256 Len=0 TSval=412253451 TSecr=4011346257"
"52","0.255609610","192.168.100.12","192.168.100.10","TCP","66","36548  >  7777 [ACK] Seq=26 Ack=10 Win=64256 Len=0 TSval=412253452 TSecr=4011346257"
"53","1.169996885","192.168.100.11","192.168.100.10","TCP","74","33042  >  7777 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2230216371 TSecr=0 WS=128"
"54","1.170031291","192.168.100.10","192.168.100.11","TCP","74","7777  >  33042 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3054225028 TSecr=2230216371 WS=512"
"55","1.170309939","192.168.100.11","192.168.100.10","TCP","66","33042  >  7777 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2230216372 TSecr=3054225028"
"56","1.170373661","192.168.100.11","192.168.100.10","TCP","90","33042  >  7777 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=24 TSval=2230216372 TSecr=3054225028"
"57","1.170373748","192.168.100.11","192.168.100.10","TCP","66","33042  >  7777 [FIN, ACK] Seq=25 Ack=1 Win=64256 Len=0 TSval=2230216372 TSecr=3054225028"
"58","1.170385793","192.168.100.10","192.168.100.11","TCP","66","7777  >  33042 [ACK] Seq=1 Ack=25 Win=65536 Len=0 TSval=3054225028 TSecr=2230216372"
"59","1.170864123","192.168.100.10","192.168.100.11","TCP","71","7777  >  33042 [PSH, ACK] Seq=1 Ack=26 Win=65536 Len=5 TSval=3054225029 TSecr=2230216372"
"60","1.170972988","192.168.100.10","192.168.100.11","TCP","66","7777  >  33042 [FIN, ACK] Seq=6 Ack=26 Win=65536 Len=0 TSval=3054225029 TSecr=2230216372"
"61","1.171002136","192.168.100.11","192.168.100.10","TCP","66","33042  >  7777 [ACK] Seq=26 Ack=6 Win=64256 Len=0 TSval=2230216372 TSecr=3054225029"
"62","1.171122508","192.168.100.11","192.168.100.10","TCP","66","33042  >  7777 [ACK] Seq=26 Ack=7 Win=64256 Len=0 TSval=2230216373 TSecr=3054225029"
"63","1.218498664","VMware_73:39:c1","Broadcast","ARP","60","Who has 192.168.100.13? Tell 192.168.100.11"
"64","1.218893305","VMware_50:3b:75","VMware_73:39:c1","ARP","60","192.168.100.13 is at 00:0c:29:50:3b:75"
"65","1.229239292","192.168.100.11","192.168.100.13","TCP","60","57603  >  8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"66","1.229239519","192.168.100.11","192.168.100.13","TCP","60","57603  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"67","1.229239555","192.168.100.11","192.168.100.13","TCP","60","57603  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"68","1.229239591","192.168.100.11","192.168.100.13","TCP","60","57603  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"69","1.229239626","192.168.100.11","192.168.100.13","TCP","60","57603  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"70","1.229239661","192.168.100.11","192.168.100.13","TCP","60","57603  >  3306 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"71","1.230058853","192.168.100.13","192.168.100.11","TCP","60","8080  >  57603 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"72","1.230059404","192.168.100.13","192.168.100.11","TCP","60","443  >  57603 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"73","1.230059446","192.168.100.13","192.168.100.11","TCP","60","21  >  57603 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"74","1.230059481","192.168.100.13","192.168.100.11","TCP","60","80  >  57603 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"75","1.230181856","192.168.100.13","192.168.100.11","TCP","60","22  >  57603 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"76","1.230182107","192.168.100.13","192.168.100.11","TCP","60","3306  >  57603 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"77","1.230182146","192.168.100.11","192.168.100.13","TCP","60","57603  >  8080 [RST] Seq=1 Win=0 Len=0"
"78","1.230182182","192.168.100.11","192.168.100.13","TCP","60","57603  >  443 [RST] Seq=1 Win=0 Len=0"
"79","1.230182218","192.168.100.11","192.168.100.13","TCP","60","57603  >  21 [RST] Seq=1 Win=0 Len=0"
"80","1.230298587","192.168.100.11","192.168.100.13","TCP","60","57603  >  80 [RST] Seq=1 Win=0 Len=0"
"81","1.230298700","192.168.100.11","192.168.100.13","TCP","60","57603  >  22 [RST] Seq=1 Win=0 Len=0"
"82","1.230298736","192.168.100.11","192.168.100.13","TCP","60","57603  >  3306 [RST] Seq=1 Win=0 Len=0"
"83","1.258125997","192.168.100.11","192.168.100.13","TCP","74","56914  >  9999 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3827738314 TSecr=0 WS=128"
"84","1.258126551","192.168.100.12","192.168.100.10","TCP","74","36562  >  7777 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=412254454 TSecr=0 WS=128"
"85","1.258165015","192.168.100.10","192.168.100.12","TCP","74","7777  >  36562 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4011347260 TSecr=412254454 WS=512"
"86","1.258368235","192.168.100.13","192.168.100.11","TCP","74","9999  >  56914 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=1612776052 TSecr=3827738314 WS=128"
"87","1.258368347","192.168.100.12","192.168.100.10","TCP","66","36562  >  7777 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=412254454 TSecr=4011347260"
"88","1.258456747","192.168.100.12","192.168.100.10","TCP","90","36562  >  7777 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=24 TSval=412254454 TSecr=4011347260"
"89","1.258456919","192.168.100.12","192.168.100.10","TCP","66","36562  >  7777 [FIN, ACK] Seq=25 Ack=1 Win=64256 Len=0 TSval=412254454 TSecr=4011347260"
"90","1.258473935","192.168.100.10","192.168.100.12","TCP","66","7777  >  36562 [ACK] Seq=1 Ack=25 Win=65536 Len=0 TSval=4011347260 TSecr=412254454"
"91","1.258714596","192.168.100.11","192.168.100.13","TCP","66","56914  >  9999 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3827738315 TSecr=1612776052"
"92","1.258980278","192.168.100.10","192.168.100.12","TCP","74","7777  >  36562 [PSH, ACK] Seq=1 Ack=26 Win=65536 Len=8 TSval=4011347261 TSecr=412254454"
"93","1.259068002","192.168.100.10","192.168.100.12","TCP","66","7777  >  36562 [FIN, ACK] Seq=9 Ack=26 Win=65536 Len=0 TSval=4011347261 TSecr=412254454"
"94","1.259122274","192.168.100.11","192.168.100.13","TCP","5383","56914  >  9999 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=5317 TSval=3827738315 TSecr=1612776052"
"95","1.259221689","192.168.100.12","192.168.100.10","TCP","66","36562  >  7777 [ACK] Seq=26 Ack=9 Win=64256 Len=0 TSval=412254455 TSecr=4011347261"
"96","1.259221816","192.168.100.13","192.168.100.11","TCP","66","9999  >  56914 [ACK] Seq=1 Ack=5318 Win=64128 Len=0 TSval=1612776053 TSecr=3827738315"
"97","1.259240909","192.168.100.12","192.168.100.10","TCP","66","36562  >  7777 [ACK] Seq=26 Ack=10 Win=64256 Len=0 TSval=412254455 TSecr=4011347261"
"98","1.260421375","192.168.100.11","192.168.100.13","TCP","66","56914  >  9999 [FIN, ACK] Seq=5318 Ack=1 Win=64256 Len=0 TSval=3827738317 TSecr=1612776053"
"99","1.260616451","192.168.100.13","192.168.100.11","TCP","66","9999  >  56914 [FIN, ACK] Seq=1 Ack=5319 Win=64128 Len=0 TSval=1612776054 TSecr=3827738317"
"100","1.260705070","192.168.100.11","192.168.100.13","TCP","66","56914  >  9999 [ACK] Seq=5319 Ack=2 Win=64256 Len=0 TSval=3827738317 TSecr=1612776054"
"101","1.261591957","192.168.100.11","192.168.100.10","TCP","74","33048  >  7777 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2230216463 TSecr=0 WS=128"
"102","1.261623204","192.168.100.10","192.168.100.11","TCP","74","7777  >  33048 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3054225119 TSecr=2230216463 WS=512"
"103","1.261675151","192.168.100.13","192.168.100.10","TCP","74","49928  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1725358608 TSecr=0 WS=128"
