timestamp,worm_type,network,source_ip,infected_ip,hop_count,live_hosts_found,open_ports,spread_to,spread_success
15-03-2026 19:22,W1_stealth,Network_1,192.168.100.10,192.168.100.15,1,"['192.168.100.10', '192.168.100.15', '192.168.100.14', '192.168.100.12', '192.168.100.13', '192.168.100.11']","{'192.168.100.15': [21, 22, 80, 443, 3306, 8080], '192.168.100.14': [21, 22, 80, 443, 3306, 8080], '192.168.100.12': [21, 22, 80, 443, 3306, 8080], '192.168.100.13': [21, 22, 80, 443, 3306, 8080], '192.168.100.11': [21, 22, 80, 443, 3306, 8080]}",192.168.100.15,TRUE
15-03-2026 19:26,W1_stealth,Network_1,192.168.100.15,192.168.100.13,2,"['192.168.100.13', '192.168.100.12', '192.168.100.10', '192.168.100.15', '192.168.100.14', '192.168.100.11']","{'192.168.100.13': [21, 22, 80, 443, 3306, 8080], '192.168.100.12': [21, 22, 80, 443, 3306, 8080], '192.168.100.14': [21, 22, 80, 443, 3306, 8080], '192.168.100.11': [21, 22, 80, 443, 3306, 8080]}",192.168.100.13,TRUE
15-03-2026 19:28,W1_stealth,Network_1,192.168.100.15,192.168.100.14,3,"['192.168.100.14', '192.168.100.10', '192.168.100.11', '192.168.100.12', '192.168.100.13', '192.168.100.15']","{'192.168.100.14': [21, 22, 80, 443, 3306, 8080], '192.168.100.11': [21, 22, 80, 443, 3306, 8080], '192.168.100.12': [21, 22, 80, 443, 3306, 8080], '192.168.100.13': [21, 22, 80, 443, 3306, 8080], '192.168.100.15': [21, 22, 80, 443, 3306, 8080]}",192.168.100.14,TRUE
15-03-2026 19:33,W1_stealth,Network_1,192.168.100.14,192.168.100.11,4,"['192.168.100.11', '192.168.100.12', '192.168.100.10', '192.168.100.15', '192.168.100.13', '192.168.100.14']","{'192.168.100.11': [21, 22, 80, 443, 3306, 8080], '192.168.100.12': [21, 22, 80, 443, 3306, 8080], '192.168.100.15': [21, 22, 80, 443, 3306, 8080], '192.168.100.13': [21, 22, 80, 443, 3306, 8080]}",192.168.100.11,TRUE
15-03-2026 19:38,W1_stealth,Network_1,192.168.100.15,192.168.100.12,5,"['192.168.100.12', '192.168.100.13', '192.168.100.11', '192.168.100.15', '192.168.100.10', '192.168.100.14']","{'192.168.100.12': [21, 22, 80, 443, 3306, 8080], '192.168.100.13': [21, 22, 80, 443, 3306, 8080]}",192.168.100.12,TRUE
