timestamp,worm_type,network,source_ip,infected_ip,hop_count,infected_chain
22-03-2026 09:51,W1_stealth,Network_1,192.168.100.10,192.168.100.11,1,"['192.168.100.10', '192.168.100.11']"
22-03-2026 09:51,W1_stealth,Network_1,192.168.100.10,192.168.100.12,1,"['192.168.100.10', '192.168.100.11', '192.168.100.12']"
22-03-2026 09:51,W1_stealth,Network_1,192.168.100.11,192.168.100.13,2,"['192.168.100.10', '192.168.100.12', '192.168.100.13']"
22-03-2026 09:51,W1_stealth,Network_1,192.168.100.12,192.168.100.14,2,"['192.168.100.10', '192.168.100.11', '192.168.100.13', '192.168.100.14']"
22-03-2026 09:51,W1_stealth,Network_1,192.168.100.13,192.168.100.15,3,"['192.168.100.10', '192.168.100.12', '192.168.100.14', '192.168.100.15']"
