"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","VMware_7a:70:0b","Broadcast","ARP","42","Who has 192.168.100.11? Tell 192.168.100.10"
"2","0.003265217","VMware_73:39:c1","VMware_7a:70:0b","ARP","60","192.168.100.11 is at 00:0c:29:73:39:c1"
"3","0.120378576","VMware_7a:70:0b","Broadcast","ARP","42","Who has 192.168.100.12? Tell 192.168.100.10"
"4","0.121425825","VMware_48:a5:6d","VMware_7a:70:0b","ARP","60","192.168.100.12 is at 00:0c:29:48:a5:6d"
"5","0.243535887","VMware_7a:70:0b","Broadcast","ARP","42","Who has 192.168.100.11? Tell 192.168.100.10"
"6","0.243944565","VMware_73:39:c1","VMware_7a:70:0b","ARP","60","192.168.100.11 is at 00:0c:29:73:39:c1"
"7","0.307966390","192.168.100.10","192.168.100.11","TCP","58","43307  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"8","0.308042514","192.168.100.10","192.168.100.11","TCP","58","43307  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"9","0.308066200","192.168.100.10","192.168.100.11","TCP","58","43307  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"10","0.308084996","192.168.100.10","192.168.100.11","TCP","58","43307  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"11","0.308104458","192.168.100.10","192.168.100.11","TCP","58","43307  >  3306 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"12","0.308122268","192.168.100.10","192.168.100.11","TCP","58","43307  >  8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"13","0.309077953","192.168.100.11","192.168.100.10","TCP","60","443  >  43307 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"14","0.309314938","192.168.100.10","192.168.100.11","TCP","54","43307  >  443 [RST] Seq=1 Win=0 Len=0"
"15","0.309369612","192.168.100.11","192.168.100.10","TCP","60","21  >  43307 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"16","0.309369717","192.168.100.11","192.168.100.10","TCP","60","22  >  43307 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"17","0.309369751","192.168.100.11","192.168.100.10","TCP","60","80  >  43307 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
